<STAT>,<GENE>,<XDPS>,<YDPS>,<XPOS>,<YPOS>,<ZPOS>,<MIDA>,<COLA>,<ROWA>,<SITE>,<OWNER>,<ORIG>,<SNAM>,<DBMMEAS>,<ROTA>,<AFQV>,<PMQV>,<FPMQV>,<FPMXG>,<FPMYG>,<FLD1>,<RFLD1>,<COND1>,<XFDP1>,<YFDP1>,<AXS1>,<ANG1>,<TYP1>,<LBL1>,<CD_1>,<CCD1>,<DES1>,<CAL1>,<FLD2>,<RFLD2>,<COND2>,<XFDP2>,<YFDP2>,<AXS2>,<ANG2>,<TYP2>,<LBL2>,<CD_2>,<CCD2>,<DES2>,<CAL2>,<FLD3>,<RFLD3>,<COND3>,<XFDP3>,<YFDP3>,<AXS3>,<ANG3>,<TYP3>,<LBL3>,<CD_3>,<CCD3>,<DES3>,<CAL3>,<IMAG>,<JOBN>,<RECP>,<MET1>,<MET2>,<MET3>,<POS1>,<POS2>,<POS3>,<BEAM>,<SCAN>,<TOOLN>,<Ver.>,<DATE>,<TIME>
0,1,29310.000,12220.000,29310.000000,12220.129375,-76.904297,0,1,1,1,-,1,(no name),CD Meas,0.0,82,92,-,-,-,1,0,,29310.000,12220.000,X,0.000000,1,SPACE-X,83.297,83.297,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 10 SEBP504G-W4F\Dynamic Short AT\Dynamic_Short_AT_V01_1-1\Dynamic_Short_AT_V01_1-1.000.A00001001S0001.bmp,Dynamic_Short_AT_V01_1-1.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:1.048:10040.000:0.000:0.000:0.000;@E,S06:D05:F40pix,,,-39.756493:43.540087,,,BE1200:1200eV:-31.307pA:O3on:GasOn,LINE_FULL:50000:16:0x0:35.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.01B2 (5.01.2025),11/18/2022,16:28:18
0,1,29305.000,12225.000,29305.000000,12225.129375,-76.562500,0,1,1,2,-,2,(no name),CD Meas,270.0,82,999,-,-,-,1,0,,29305.000,12225.000,Y,90.000000,1,SPACE-Y,82.722,82.722,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 10 SEBP504G-W4F\Dynamic Short AT\Dynamic_Short_AT_V01_1-1\Dynamic_Short_AT_V01_1-1.000.A00001001S0002.bmp,Dynamic_Short_AT_V01_1-1.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.254/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:1.048:10040.000:0.000:0.000:0.000;@E,S06:D05:F40pix,,,-37.926260:44.863034,,,BE1200:1200eV:-31.307pA:O3on:GasOn,LINE_FULL:50000:16:0x0:35.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.01B2 (5.01.2025),11/18/2022,16:28:22
0,1,29310.000,12160.000,29310.000000,12160.129375,-76.904297,0,1,1,3,-,3,(no name),CD Meas,0.0,81,999,-,-,-,1,0,,29310.000,12160.000,X,0.000000,0,LINE_-X,95.835,95.835,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 10 SEBP504G-W4F\Dynamic Short AT\Dynamic_Short_AT_V01_1-1\Dynamic_Short_AT_V01_1-1.000.A00001001S0003.bmp,Dynamic_Short_AT_V01_1-1.job,@1:RCP:1:1:3:LINE_-X:0:E/l2.248/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:1.048:10040.000:0.000:0.000:0.000;@E,S06:D05:F40pix,,,-56.789943:39.045323,,,BE1200:1200eV:-31.307pA:O3on:GasOn,LINE_FULL:50000:16:0x0:35.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.01B2 (5.01.2025),11/18/2022,16:28:27
0,1,29305.000,12165.000,29305.000000,12165.129375,-76.425781,0,1,1,4,-,4,(no name),CD Meas,270.0,81,999,-,-,-,1,0,,29305.000,12165.000,Y,90.000000,0,LINE_-Y,95.418,95.418,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 10 SEBP504G-W4F\Dynamic Short AT\Dynamic_Short_AT_V01_1-1\Dynamic_Short_AT_V01_1-1.000.A00001001S0004.bmp,Dynamic_Short_AT_V01_1-1.job,@1:RCP:1:1:4:LINE_-Y:0:E/l2.254/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:1.048:10040.000:0.000:0.000:0.000;@E,S06:D05:F40pix,,,-61.488369:33.862407,,,BE1200:1200eV:-31.307pA:O3on:GasOn,LINE_FULL:50000:16:0x0:35.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.01B2 (5.01.2025),11/18/2022,16:28:32
0,1,29355.022,12240.000,29355.010743,12240.140625,-76.972656,0,1,1,5,-,5,(no name),CD Meas,0.0,82,97,-,-,-,1,0,,29355.073,12240.000,X,0.000000,0,LINE_-X,82.515,82.515,80.000,,2,0,,29354.994,12240.000,X,0.000000,1,SPACE-X,77.193,77.193,80.000,,3,0,,29355.039,12240.000,X,0.000000,3,PICHF-X,159.708,159.708,160.000,,C:\DATADIR\result\QC\No 10 SEBP504G-W4F\Dynamic Short AT\Dynamic_Short_AT_V01_1-1\Dynamic_Short_AT_V01_1-1.000.A00001001S0005.bmp,Dynamic_Short_AT_V01_1-1.job,@1:RCP:1:1:3:LINE_-X:0:E/l2.250/S6/D5/P0/$1/N000000/T00/W0:0.051:0.000:0.0800:0.000:999.999:0.051:10040.000:0.000:0.085:0.000;@2:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P0/$1/N000000/T00/W0:-0.028:0.000:0.0800:0.000:999.999:0.051:10040.000:0.000:0.085:0.000;@3:RCP:1:1:3:PICHF-X:3:E/l2.250/S6/D5/P0/$1/N000000/T00/W0:0.017:0.000:0.1600:0.000:999.999:0.051:10040.000:0.000:0.160:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,S06:D05:F40pix,-21.342883:61.172012,-98.536165:-21.342883,-98.536165:61.172012,BE1200:1200eV:-31.307pA:O3on:GasOn,LINE_FULL:50000:16:0x0:35.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.01B2 (5.01.2025),11/18/2022,16:28:40
0,1,29355.000,12150.000,29355.000000,12150.135000,-76.425781,0,1,1,6,-,6,(no name),CD Meas,270.0,82,92,-,-,-,1,0,,29355.000,12150.039,Y,90.000000,0,LINE_-Y,83.125,83.125,80.000,,2,0,,29355.000,12149.961,Y,90.000000,1,SPACE-Y,78.125,78.125,80.000,,3,0,,29355.000,12150.000,Y,90.000000,3,PICHF-Y,161.250,161.250,160.000,,C:\DATADIR\result\QC\No 10 SEBP504G-W4F\Dynamic Short AT\Dynamic_Short_AT_V01_1-1\Dynamic_Short_AT_V01_1-1.000.A00001001S0006.bmp,Dynamic_Short_AT_V01_1-1.job,@1:RCP:1:1:4:LINE_-Y:0:E/l2.250/S6/D5/P0/$1/N000000/T00/W0:0.000:0.039:0.0800:0.000:999.999:0.050:10040.000:0.000:0.080:0.000;@2:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P0/$1/N000000/T00/W0:0.000:-0.039:0.0800:0.000:999.999:0.050:10040.000:0.000:0.080:0.000;@3:RCP:1:1:4:PICHF-Y:3:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1600:0.000:999.999:0.050:10040.000:0.000:0.160:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,S06:D05:F40pix,-17.800009:65.257508,-95.992109:-17.800009,-95.992109:65.257508,BE1200:1200eV:-31.307pA:O3on:GasOn,LINE_FULL:50000:16:0x0:35.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.01B2 (5.01.2025),11/18/2022,16:28:49
0,1,29810.000,12220.000,29810.000000,12220.135000,-77.109375,0,1,1,7,-,7,(no name),CD Meas,0.0,82,92,-,-,-,1,0,,29810.000,12220.000,X,0.000000,1,SPACE-X,101.310,101.310,100.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 10 SEBP504G-W4F\Dynamic Short AT\Dynamic_Short_AT_V01_1-1\Dynamic_Short_AT_V01_1-1.000.A00001001S0007.bmp,Dynamic_Short_AT_V01_1-1.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.900:10040.000:0.000:0.000:0.000;@E,S06:D05:F40pix,,,-54.768289:46.541788,,,BE1200:1200eV:-31.307pA:O3on:GasOn,LINE_FULL:50000:16:0x0:35.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.01B2 (5.01.2025),11/18/2022,16:28:56
0,1,29805.000,12225.000,29805.000000,12225.135000,-76.699219,0,1,1,8,-,8,(no name),CD Meas,270.0,82,999,-,-,-,1,0,,29805.000,12225.000,Y,90.000000,1,SPACE-Y,101.796,101.796,100.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 10 SEBP504G-W4F\Dynamic Short AT\Dynamic_Short_AT_V01_1-1\Dynamic_Short_AT_V01_1-1.000.A00001001S0008.bmp,Dynamic_Short_AT_V01_1-1.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.254/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.902:10040.000:0.000:0.000:0.000;@E,S06:D05:F40pix,,,-41.964527:59.898967,,,BE1200:1200eV:-31.307pA:O3on:GasOn,LINE_FULL:50000:16:0x0:35.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.01B2 (5.01.2025),11/18/2022,16:29:01
0,1,29810.000,12160.000,29810.000000,12160.135000,-77.109375,0,1,1,9,-,9,(no name),CD Meas,0.0,81,999,-,-,-,1,0,,29810.000,12160.000,X,0.000000,0,LINE_-X,106.822,106.822,100.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 10 SEBP504G-W4F\Dynamic Short AT\Dynamic_Short_AT_V01_1-1\Dynamic_Short_AT_V01_1-1.000.A00001001S0009.bmp,Dynamic_Short_AT_V01_1-1.job,@1:RCP:1:1:3:LINE_-X:0:E/l2.248/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.902:10040.000:0.000:0.000:0.000;@E,S06:D05:F40pix,,,-65.063519:41.758502,,,BE1200:1200eV:-31.307pA:O3on:GasOn,LINE_FULL:50000:16:0x0:35.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.01B2 (5.01.2025),11/18/2022,16:29:06
0,1,29805.000,12165.000,29805.000000,12165.135000,-76.630859,0,1,1,10,-,10,(no name),CD Meas,270.0,81,999,-,-,-,1,0,,29805.000,12165.000,Y,90.000000,0,LINE_-Y,104.861,104.861,100.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 10 SEBP504G-W4F\Dynamic Short AT\Dynamic_Short_AT_V01_1-1\Dynamic_Short_AT_V01_1-1.000.A00001001S0010.bmp,Dynamic_Short_AT_V01_1-1.job,@1:RCP:1:1:4:LINE_-Y:0:E/l2.254/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.902:10040.000:0.000:0.000:0.000;@E,S06:D05:F40pix,,,-57.662753:47.131558,,,BE1200:1200eV:-31.307pA:O3on:GasOn,LINE_FULL:50000:16:0x0:35.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.01B2 (5.01.2025),11/18/2022,16:29:11
0,1,29855.113,12240.000,29855.107371,12240.146250,-77.177734,0,1,1,11,-,11,(no name),CD Meas,0.0,81,95,-,-,-,1,0,,29855.169,12240.000,X,0.000000,0,LINE_-X,102.440,102.440,100.000,,2,0,,29855.062,12240.000,X,0.000000,1,SPACE-X,97.401,97.401,100.000,,3,0,,29855.113,12240.000,X,0.000000,3,PICHF-X,199.841,199.841,200.000,,C:\DATADIR\result\QC\No 10 SEBP504G-W4F\Dynamic Short AT\Dynamic_Short_AT_V01_1-1\Dynamic_Short_AT_V01_1-1.000.A00001001S0011.bmp,Dynamic_Short_AT_V01_1-1.job,@1:RCP:1:1:3:LINE_-X:0:E/l2.250/S6/D5/P0/$1/N000000/T00/W0:0.056:0.000:0.1000:0.000:999.999:0.051:10040.000:0.000:0.107:0.000;@2:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P0/$1/N000000/T00/W0:-0.051:0.000:0.1000:0.000:999.999:0.051:10040.000:0.000:0.096:0.000;@3:RCP:1:1:3:PICHF-X:3:E/l2.250/S6/D5/P0/$1/N000000/T00/W0:0.000:0.000:0.2000:0.000:999.999:0.051:10040.000:0.000:0.200:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,S06:D05:F40pix,-15.296673:87.143324,-112.697465:-15.296673,-112.697465:87.143324,BE1200:1200eV:-31.307pA:O3on:GasOn,LINE_FULL:50000:16:0x0:35.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.01B2 (5.01.2025),11/18/2022,16:29:19
0,1,29855.000,12149.900,29855.000000,12150.035000,-76.630859,0,1,1,12,-,12,(no name),CD Meas,270.0,81,90,-,-,-,1,0,,29855.000,12149.951,Y,90.000000,0,LINE_-Y,101.430,101.430,100.000,,2,0,,29855.000,12149.849,Y,90.000000,1,SPACE-Y,98.595,98.595,100.000,,3,0,,29855.000,12149.900,Y,90.000000,3,PICHF-Y,200.025,200.025,200.000,,C:\DATADIR\result\QC\No 10 SEBP504G-W4F\Dynamic Short AT\Dynamic_Short_AT_V01_1-1\Dynamic_Short_AT_V01_1-1.000.A00001001S0012.bmp,Dynamic_Short_AT_V01_1-1.job,@1:RCP:1:1:4:LINE_-Y:0:E/l2.250/S6/D5/P0/$1/N000000/T00/W0:0.000:0.051:0.1000:0.000:999.999:0.050:10040.000:0.000:0.100:0.000;@2:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P0/$1/N000000/T00/W0:0.000:-0.051:0.1000:0.000:999.999:0.050:10040.000:0.000:0.100:0.000;@3:RCP:1:1:4:PICHF-Y:3:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.2000:0.000:999.999:0.050:10040.000:0.000:0.197:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,S06:D05:F40pix,-5.312789:96.049907,-103.975203:-5.312789,-103.975203:96.049907,BE1200:1200eV:-31.307pA:O3on:GasOn,LINE_FULL:50000:16:0x0:35.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.01B2 (5.01.2025),11/18/2022,16:29:29
0,1,31310.000,12220.000,31309.988743,12220.129375,-77.109375,0,1,1,13,-,13,(no name),CD Meas,0.0,82,91,-,-,-,1,0,,31310.000,12220.000,X,0.000000,1,SPACE-X,197.128,197.128,200.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 10 SEBP504G-W4F\Dynamic Short AT\Dynamic_Short_AT_V01_1-1\Dynamic_Short_AT_V01_1-1.000.A00001001S0013.bmp,Dynamic_Short_AT_V01_1-1.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.2000:0.000:999.999:0.958:10040.000:0.000:0.000:0.000;@E,S06:D05:F40pix,,,-98.100119:99.027501,,,BE1200:1200eV:-31.307pA:O3on:GasOn,LINE_FULL:50000:16:0x0:35.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.01B2 (5.01.2025),11/18/2022,16:29:36
