<STAT>,<GENE>,<XDPS>,<YDPS>,<XPOS>,<YPOS>,<ZPOS>,<MIDA>,<COLA>,<ROWA>,<SITE>,<OWNER>,<ORIG>,<SNAM>,<DBMMEAS>,<ROTA>,<AFQV>,<PMQV>,<FPMQV>,<FPMXG>,<FPMYG>,<FLD1>,<RFLD1>,<COND1>,<XFDP1>,<YFDP1>,<AXS1>,<ANG1>,<TYP1>,<LBL1>,<CD_1>,<CCD1>,<DES1>,<CAL1>,<FLD2>,<RFLD2>,<COND2>,<XFDP2>,<YFDP2>,<AXS2>,<ANG2>,<TYP2>,<LBL2>,<CD_2>,<CCD2>,<DES2>,<CAL2>,<IMAG>,<JOBN>,<RECP>,<MET1>,<MET2>,<POS1>,<POS2>,<BEAM>,<SCAN>,<TOOLN>,<Ver.>,<DATE>,<TIME>
0,1,6159.000,-32707.025,6159.056200,-32707.114962,-75.537109,0,7,4,1,-,1,Hor 50nm,CD Meas,270.0,83,86,-,-,-,1,0,,6159.000,-32707.000,Y,90.000000,1,SPACE-Y,48.643,48.643,50.000,,2,0,,6159.000,-32707.025,Y,90.000000,2,PICHR-Y,99.921,99.921,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_7-4\CD_mean_160pA_V01_7-4.000.A00007004S0001.bmp,CD_mean_160pA_V01_7-4.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-0.389364:48.403533,-51.517854:48.403533,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/26/2023,11:14:36
0,1,6162.000,-32707.025,6162.056200,-32707.114962,-75.537109,0,7,4,2,-,2,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,6162.000,-32707.000,Y,90.000000,1,SPACE-Y,48.527,48.527,50.000,,2,0,,6162.000,-32707.025,Y,90.000000,2,PICHR-Y,100.024,100.024,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_7-4\CD_mean_160pA_V01_7-4.000.A00007004S0002.bmp,CD_mean_160pA_V01_7-4.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-1.817510:46.859962,-53.163592:46.859962,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/26/2023,11:14:38
0,1,6165.000,-32707.025,6165.056200,-32707.114962,-75.537109,0,7,4,3,-,3,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,6165.000,-32707.000,Y,90.000000,1,SPACE-Y,48.430,48.430,50.000,,2,0,,6165.000,-32707.025,Y,90.000000,2,PICHR-Y,99.623,99.623,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_7-4\CD_mean_160pA_V01_7-4.000.A00007004S0003.bmp,CD_mean_160pA_V01_7-4.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-1.699435:46.881049,-52.741970:46.881049,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/26/2023,11:14:41
0,1,6168.000,-32707.025,6168.056200,-32707.114962,-75.537109,0,7,4,4,-,4,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,6168.000,-32707.000,Y,90.000000,1,SPACE-Y,48.501,48.501,50.000,,2,0,,6168.000,-32707.025,Y,90.000000,2,PICHR-Y,100.110,100.110,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_7-4\CD_mean_160pA_V01_7-4.000.A00007004S0004.bmp,CD_mean_160pA_V01_7-4.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-2.502062:46.148629,-53.961862:46.148629,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/26/2023,11:14:44
0,1,6171.000,-32707.025,6171.056200,-32707.114962,-75.537109,0,7,4,5,-,5,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,6171.000,-32707.000,Y,90.000000,1,SPACE-Y,48.446,48.446,50.000,,2,0,,6171.000,-32707.025,Y,90.000000,2,PICHR-Y,99.638,99.638,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_7-4\CD_mean_160pA_V01_7-4.000.A00007004S0005.bmp,CD_mean_160pA_V01_7-4.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-3.893654:44.702066,-54.935804:44.702066,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/26/2023,11:14:46
0,1,6174.000,-32707.025,6174.056200,-32707.114962,-75.537109,0,7,4,6,-,6,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,6174.000,-32707.000,Y,90.000000,1,SPACE-Y,48.506,48.506,50.000,,2,0,,6174.000,-32707.025,Y,90.000000,2,PICHR-Y,100.016,100.016,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_7-4\CD_mean_160pA_V01_7-4.000.A00007004S0006.bmp,CD_mean_160pA_V01_7-4.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-3.528186:45.128022,-54.888020:45.128022,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/26/2023,11:14:49
0,1,6177.000,-32707.025,6177.056200,-32707.114962,-75.537109,0,7,4,7,-,7,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,6177.000,-32707.000,Y,90.000000,1,SPACE-Y,48.777,48.777,50.000,,2,0,,6177.000,-32707.025,Y,90.000000,2,PICHR-Y,100.200,100.200,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_7-4\CD_mean_160pA_V01_7-4.000.A00007004S0007.bmp,CD_mean_160pA_V01_7-4.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-3.816344:45.111152,-55.088992:45.111152,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/26/2023,11:14:52
0,1,6180.000,-32707.025,6180.056200,-32707.114962,-75.537109,0,7,4,8,-,8,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,6180.000,-32707.000,Y,90.000000,1,SPACE-Y,48.853,48.853,50.000,,2,0,,6180.000,-32707.025,Y,90.000000,2,PICHR-Y,99.831,99.831,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_7-4\CD_mean_160pA_V01_7-4.000.A00007004S0008.bmp,CD_mean_160pA_V01_7-4.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-3.803693:45.199717,-54.630833:45.199717,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/26/2023,11:14:55
0,1,6159.000,-32704.025,6159.056200,-32704.114962,-75.537109,0,7,4,9,-,9,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,6159.000,-32704.000,Y,90.000000,1,SPACE-Y,48.579,48.579,50.000,,2,0,,6159.000,-32704.025,Y,90.000000,2,PICHR-Y,99.971,99.971,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_7-4\CD_mean_160pA_V01_7-4.000.A00007004S0009.bmp,CD_mean_160pA_V01_7-4.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-4.932426:43.796737,-56.173954:43.796737,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/26/2023,11:14:58
0,1,6162.000,-32704.025,6162.056200,-32704.114962,-75.537109,0,7,4,10,-,10,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,6162.000,-32704.000,Y,90.000000,1,SPACE-Y,48.568,48.568,50.000,,2,0,,6162.000,-32704.025,Y,90.000000,2,PICHR-Y,99.937,99.937,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_7-4\CD_mean_160pA_V01_7-4.000.A00007004S0010.bmp,CD_mean_160pA_V01_7-4.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-5.725208:42.992626,-56.944106:42.992626,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/26/2023,11:15:01
