<STAT>,<GENE>,<XDPS>,<YDPS>,<XPOS>,<YPOS>,<ZPOS>,<MIDA>,<COLA>,<ROWA>,<SITE>,<OWNER>,<ORIG>,<SNAM>,<DBMMEAS>,<ROTA>,<AFQV>,<PMQV>,<FPMQV>,<FPMXG>,<FPMYG>,<FLD1>,<RFLD1>,<COND1>,<XFDP1>,<YFDP1>,<AXS1>,<ANG1>,<TYP1>,<LBL1>,<CD_1>,<CCD1>,<DES1>,<CAL1>,<IMAG>,<JOBN>,<RECP>,<MET1>,<POS1>,<BEAM>,<SCAN>,<TOOLN>,<Ver.>,<DATE>,<TIME>
0,1,-5098.000,-8695.100,-5098.000000,-8695.105627,-68.701172,0,6,6,1,-,1,Hor 50K,CD Meas,270.0,82,77,-,-,-,1,0,,-5098.000,-8695.100,Y,90.000000,2,PICHR-Y,400.492,400.492,400.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Magnification Error\Magnification_Error_V01_6-6\Magnification_Error_V01_6-6.010.A00006006S0001.bmp,Magnification_Error_V01_6-6.job,@1:RCP:1:1:4:PICHR-Y:2:E/l0.560/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.4000:0.000:999.999:0.050:5.000:0.000:0.400:0.000;@E,S06:D05:F05div,-204.776989:195.714987,BE1200:1200eV:-31.019pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),01/05/2024,15:11:04
0,1,-5098.000,-8695.100,-5098.000000,-8695.105627,-68.701172,0,6,6,2,-,2,Hor 75K,CD Meas,270.0,82,999,-,-,-,1,0,,-5098.000,-8695.100,Y,90.000000,2,PICHR-Y,400.611,400.611,400.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Magnification Error\Magnification_Error_V01_6-6\Magnification_Error_V01_6-6.010.A00006006S0002.bmp,Magnification_Error_V01_6-6.job,@1:RCP:1:1:4:PICHR-Y:2:E/l0.560/S9/D7/P1/$1/N000000/T00/W0:0.000:0.000:0.4000:0.000:999.999:0.050:5.000:0.000:0.400:0.000;@E,S09:D07:F05div,-211.191009:189.420355,BE1200:1200eV:-31.019pA:O3on:GasOn,LINE_FULL:75000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),01/05/2024,15:11:07
0,1,-5098.000,-8695.100,-5098.000000,-8695.105627,-68.701172,0,6,6,3,-,3,Hor 100K,CD Meas,270.0,82,999,-,-,-,1,0,,-5098.000,-8695.100,Y,90.000000,2,PICHR-Y,400.395,400.395,600.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Magnification Error\Magnification_Error_V01_6-6\Magnification_Error_V01_6-6.010.A00006006S0003.bmp,Magnification_Error_V01_6-6.job,@1:RCP:1:1:4:PICHR-Y:2:E/l0.560/S12/D9/P1/$1/N000000/T00/W0:0.000:0.000:0.6000:0.000:999.999:0.050:5.000:0.000:0.400:0.000;@E,S12:D09:F05div,-211.868022:188.527352,BE1200:1200eV:-31.019pA:O3on:GasOn,LINE_FULL:100000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),01/05/2024,15:11:09
0,1,-5098.000,-8695.100,-5098.000000,-8695.105627,-68.701172,0,6,6,4,-,4,Hor 150K,CD Meas,270.0,82,999,-,-,-,1,0,,-5098.000,-8695.100,Y,90.000000,2,PICHR-Y,400.552,400.552,600.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Magnification Error\Magnification_Error_V01_6-6\Magnification_Error_V01_6-6.010.A00006006S0004.bmp,Magnification_Error_V01_6-6.job,@1:RCP:1:1:4:PICHR-Y:2:E/l0.560/S18/D13/P1/$1/N000000/T00/W0:0.000:0.000:0.6000:0.000:999.999:0.050:5.000:0.000:0.400:0.000;@E,S18:D13:F05div,-211.265074:189.287259,BE1200:1200eV:-31.019pA:O3on:GasOn,LINE_FULL:150000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),01/05/2024,15:11:12
0,1,-5098.000,-8695.100,-5098.000000,-8695.105627,-68.701172,0,6,6,5,-,5,Hor 200K,CD Meas,270.0,82,999,-,-,-,1,0,,-5098.000,-8695.100,Y,90.000000,2,PICHR-Y,400.584,400.584,600.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Magnification Error\Magnification_Error_V01_6-6\Magnification_Error_V01_6-6.010.A00006006S0005.bmp,Magnification_Error_V01_6-6.job,@1:RCP:1:1:4:PICHR-Y:2:E/l0.560/S24/D17/P1/$1/N000000/T00/W0:0.000:0.000:0.6000:0.000:999.999:0.050:5.000:0.000:0.400:0.000;@E,S24:D17:F05div,-212.600793:187.983031,BE1200:1200eV:-31.019pA:O3on:GasOn,LINE_FULL:200000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),01/05/2024,15:11:14
0,1,-5098.000,-8695.100,-5097.994376,-8695.111254,-68.701172,0,6,6,6,-,6,Hor 50K,CD Meas,270.0,82,77,-,-,-,1,0,,-5098.000,-8695.100,Y,90.000000,2,PICHR-Y,400.281,400.281,400.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Magnification Error\Magnification_Error_V01_6-6\Magnification_Error_V01_6-6.010.A00006006S0006.bmp,Magnification_Error_V01_6-6.job,@1:RCP:1:1:4:PICHR-Y:2:E/l0.560/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.4000:0.000:999.999:0.050:5.000:0.000:0.400:0.000;@E,S06:D05:F05div,-197.945897:202.334986,BE1200:1200eV:-31.019pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),01/05/2024,15:11:20
0,1,-5098.000,-8695.100,-5097.994376,-8695.111254,-68.701172,0,6,6,7,-,7,Hor 75K,CD Meas,270.0,82,999,-,-,-,1,0,,-5098.000,-8695.100,Y,90.000000,2,PICHR-Y,400.205,400.205,400.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Magnification Error\Magnification_Error_V01_6-6\Magnification_Error_V01_6-6.010.A00006006S0007.bmp,Magnification_Error_V01_6-6.job,@1:RCP:1:1:4:PICHR-Y:2:E/l0.560/S9/D7/P1/$1/N000000/T00/W0:0.000:0.000:0.4000:0.000:999.999:0.050:5.000:0.000:0.400:0.000;@E,S09:D07:F05div,-207.574298:192.630903,BE1200:1200eV:-31.019pA:O3on:GasOn,LINE_FULL:75000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),01/05/2024,15:11:23
0,1,-5098.000,-8695.100,-5097.994376,-8695.111254,-68.701172,0,6,6,8,-,8,Hor 100K,CD Meas,270.0,82,999,-,-,-,1,0,,-5098.000,-8695.100,Y,90.000000,2,PICHR-Y,400.425,400.425,600.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Magnification Error\Magnification_Error_V01_6-6\Magnification_Error_V01_6-6.010.A00006006S0008.bmp,Magnification_Error_V01_6-6.job,@1:RCP:1:1:4:PICHR-Y:2:E/l0.560/S12/D9/P1/$1/N000000/T00/W0:0.000:0.000:0.6000:0.000:999.999:0.050:5.000:0.000:0.400:0.000;@E,S12:D09:F05div,-208.186170:192.238344,BE1200:1200eV:-31.019pA:O3on:GasOn,LINE_FULL:100000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),01/05/2024,15:11:26
0,1,-5098.000,-8695.100,-5097.994376,-8695.111254,-68.701172,0,6,6,9,-,9,Hor 150K,CD Meas,270.0,82,999,-,-,-,1,0,,-5098.000,-8695.100,Y,90.000000,2,PICHR-Y,400.558,400.558,600.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Magnification Error\Magnification_Error_V01_6-6\Magnification_Error_V01_6-6.010.A00006006S0009.bmp,Magnification_Error_V01_6-6.job,@1:RCP:1:1:4:PICHR-Y:2:E/l0.560/S18/D13/P1/$1/N000000/T00/W0:0.000:0.000:0.6000:0.000:999.999:0.050:5.000:0.000:0.400:0.000;@E,S18:D13:F05div,-207.488490:193.069073,BE1200:1200eV:-31.019pA:O3on:GasOn,LINE_FULL:150000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),01/05/2024,15:11:28
0,1,-5098.000,-8695.100,-5097.994376,-8695.111254,-68.701172,0,6,6,10,-,10,Hor 200K,CD Meas,270.0,82,999,-,-,-,1,0,,-5098.000,-8695.100,Y,90.000000,2,PICHR-Y,400.523,400.523,600.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Magnification Error\Magnification_Error_V01_6-6\Magnification_Error_V01_6-6.010.A00006006S0010.bmp,Magnification_Error_V01_6-6.job,@1:RCP:1:1:4:PICHR-Y:2:E/l0.560/S24/D17/P1/$1/N000000/T00/W0:0.000:0.000:0.6000:0.000:999.999:0.050:5.000:0.000:0.400:0.000;@E,S24:D17:F05div,-208.486369:192.037001,BE1200:1200eV:-31.019pA:O3on:GasOn,LINE_FULL:200000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),01/05/2024,15:11:31
