<STAT>,<GENE>,<XDPS>,<YDPS>,<XPOS>,<YPOS>,<ZPOS>,<MIDA>,<COLA>,<ROWA>,<SITE>,<OWNER>,<ORIG>,<SNAM>,<DBMMEAS>,<ROTA>,<AFQV>,<PMQV>,<FPMQV>,<FPMXG>,<FPMYG>,<FLD1>,<RFLD1>,<COND1>,<XFDP1>,<YFDP1>,<AXS1>,<ANG1>,<TYP1>,<LBL1>,<CD_1>,<CCD1>,<DES1>,<CAL1>,<FLD2>,<RFLD2>,<COND2>,<XFDP2>,<YFDP2>,<AXS2>,<ANG2>,<TYP2>,<LBL2>,<CD_2>,<CCD2>,<DES2>,<CAL2>,<FLD3>,<RFLD3>,<COND3>,<XFDP3>,<YFDP3>,<AXS3>,<ANG3>,<TYP3>,<LBL3>,<CD_3>,<CCD3>,<DES3>,<CAL3>,<IMAG>,<JOBN>,<RECP>,<MET1>,<MET2>,<MET3>,<POS1>,<POS2>,<POS3>,<BEAM>,<SCAN>,<TOOLN>,<Ver.>,<DATE>,<TIME>
0,1,8855.000,4318.000,8855.000000,4318.042201,-70.957031,0,7,7,1,-,1,1,CD Meas,270.0,82,85,-,-,-,1,0,,8855.000,4318.000,Y,90.000000,1,SPACE-Y,79.550,79.550,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference category\XY_scan_difference_category_R270_V01_7-6\XY_scan_difference_category_R270_V01_7-6.000.A00007007S0001.bmp,XY_scan_difference_category_R270_V01_7-6.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:0.040:10040.000:0.000:0.080:0.000;@E,S06:D05:F40pix,,,-41.328512:38.471036,,,BE1200:1200eV:-30.921pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/16/2023,13:29:45
0,1,8850.000,4318.000,8850.000000,4318.042201,-70.957031,0,7,7,2,-,2,1,CD Meas,270.0,82,999,-,-,-,1,0,,8850.000,4318.000,Y,90.000000,1,SPACE-Y,79.469,79.469,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference category\XY_scan_difference_category_R270_V01_7-6\XY_scan_difference_category_R270_V01_7-6.000.A00007007S0002.bmp,XY_scan_difference_category_R270_V01_7-6.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:0.040:10040.000:0.000:0.080:0.000;@E,S06:D05:F40pix,,,-37.182009:42.536795,,,BE1200:1200eV:-30.921pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/16/2023,13:29:48
0,1,8845.000,4318.000,8845.000000,4318.042201,-70.957031,0,7,7,3,-,3,1,CD Meas,270.0,82,999,-,-,-,1,0,,8845.000,4318.000,Y,90.000000,1,SPACE-Y,79.567,79.567,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference category\XY_scan_difference_category_R270_V01_7-6\XY_scan_difference_category_R270_V01_7-6.000.A00007007S0003.bmp,XY_scan_difference_category_R270_V01_7-6.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:0.040:10040.000:0.000:0.080:0.000;@E,S06:D05:F40pix,,,-37.217173:42.600103,,,BE1200:1200eV:-30.921pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/16/2023,13:29:51
0,1,8840.000,4318.000,8840.000000,4318.042201,-70.957031,0,7,7,4,-,4,1,CD Meas,270.0,82,999,-,-,-,1,0,,8840.000,4318.000,Y,90.000000,1,SPACE-Y,79.523,79.523,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference category\XY_scan_difference_category_R270_V01_7-6\XY_scan_difference_category_R270_V01_7-6.000.A00007007S0004.bmp,XY_scan_difference_category_R270_V01_7-6.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:0.040:10040.000:0.000:0.080:0.000;@E,S06:D05:F40pix,,,-38.117370:41.656112,,,BE1200:1200eV:-30.921pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/16/2023,13:29:54
0,1,8835.000,4318.000,8835.000000,4318.042201,-70.957031,0,7,7,5,-,5,1,CD Meas,270.0,82,999,-,-,-,1,0,,8835.000,4318.000,Y,90.000000,1,SPACE-Y,79.442,79.442,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference category\XY_scan_difference_category_R270_V01_7-6\XY_scan_difference_category_R270_V01_7-6.000.A00007007S0005.bmp,XY_scan_difference_category_R270_V01_7-6.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:0.040:10040.000:0.000:0.080:0.000;@E,S06:D05:F40pix,,,-38.575906:41.115886,,,BE1200:1200eV:-30.921pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/16/2023,13:29:57
0,1,8555.000,4318.000,8554.985940,4318.028134,-70.820313,0,7,7,6,-,6,3,CD Meas,270.0,82,79,-,-,-,1,0,,8555.000,4318.000,Y,90.000000,0,LINE_-Y,75.628,75.628,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference category\XY_scan_difference_category_R270_V01_7-6\XY_scan_difference_category_R270_V01_7-6.000.A00007007S0006.bmp,XY_scan_difference_category_R270_V01_7-6.job,@1:RCP:1:1:4:LINE_-Y:0:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:0.040:10040.000:0.000:0.080:0.000;@E,S06:D05:F40pix,,,-23.456392:51.921941,,,BE1200:1200eV:-30.921pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/16/2023,13:30:03
0,1,8550.000,4318.000,8549.985940,4318.028134,-70.888672,0,7,7,7,-,7,3,CD Meas,270.0,82,999,-,-,-,1,0,,8550.000,4318.000,Y,90.000000,0,LINE_-Y,75.852,75.852,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference category\XY_scan_difference_category_R270_V01_7-6\XY_scan_difference_category_R270_V01_7-6.000.A00007007S0007.bmp,XY_scan_difference_category_R270_V01_7-6.job,@1:RCP:1:1:4:LINE_-Y:0:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:0.040:10040.000:0.000:0.080:0.000;@E,S06:D05:F40pix,,,-22.658825:52.943332,,,BE1200:1200eV:-30.921pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/16/2023,13:30:08
0,1,8545.000,4318.000,8544.985940,4318.028134,-70.888672,0,7,7,8,-,8,3,CD Meas,270.0,82,999,-,-,-,1,0,,8545.000,4318.000,Y,90.000000,0,LINE_-Y,75.598,75.598,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference category\XY_scan_difference_category_R270_V01_7-6\XY_scan_difference_category_R270_V01_7-6.000.A00007007S0008.bmp,XY_scan_difference_category_R270_V01_7-6.job,@1:RCP:1:1:4:LINE_-Y:0:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:0.040:10040.000:0.000:0.080:0.000;@E,S06:D05:F40pix,,,-22.539260:52.808271,,,BE1200:1200eV:-30.921pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/16/2023,13:30:12
0,1,8540.000,4318.000,8539.985940,4318.028134,-70.888672,0,7,7,9,-,9,3,CD Meas,270.0,82,999,-,-,-,1,0,,8540.000,4318.000,Y,90.000000,0,LINE_-Y,75.975,75.975,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference category\XY_scan_difference_category_R270_V01_7-6\XY_scan_difference_category_R270_V01_7-6.000.A00007007S0009.bmp,XY_scan_difference_category_R270_V01_7-6.job,@1:RCP:1:1:4:LINE_-Y:0:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:0.040:10040.000:0.000:0.080:0.000;@E,S06:D05:F40pix,,,-22.907802:52.816713,,,BE1200:1200eV:-30.921pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/16/2023,13:30:16
0,1,8535.000,4318.000,8534.985940,4318.028134,-70.888672,0,7,7,10,-,10,3,CD Meas,270.0,82,999,-,-,-,1,0,,8535.000,4318.000,Y,90.000000,0,LINE_-Y,75.394,75.394,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference category\XY_scan_difference_category_R270_V01_7-6\XY_scan_difference_category_R270_V01_7-6.000.A00007007S0010.bmp,XY_scan_difference_category_R270_V01_7-6.job,@1:RCP:1:1:4:LINE_-Y:0:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:0.040:10040.000:0.000:0.080:0.000;@E,S06:D05:F40pix,,,-22.321230:52.822340,,,BE1200:1200eV:-30.921pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/16/2023,13:30:20
